"ticker_x","CIK","Company"
"msft","789019","MICROSOFT CORP"
"orcl","1341439","ORACLE CORP"
"adbe","796343","ADOBE INC"
"crm","1108524","SALESFORCE.COM INC"
"intu","896878","INTUIT INC"
"now","1373715","SERVICENOW INC"
"adp","8670","AUTOMATIC DATA PROCESSING"
"wday","1327811","WORKDAY INC"
"panw","1327567","PALO ALTO NETWORKS INC"
"snow","1640147","SNOWFLAKE INC"
"ftnt","1262039","FORTINET INC"
"payx","723531","PAYCHEX INC"
"snps","883241","SYNOPSYS INC"
"crwd","1535527","CROWDSTRIKE HOLDINGS INC"
"adsk","769397","AUTODESK INC"
"cdns","813672","CADENCE DESIGN SYSTEMS INC"
"ddog","1561550","DATADOG INC"
"net","1477333","CLOUDFLARE INC"
"zm","1585521","ZOOM VIDEO COMUNICATIONS INC"
"ttd","1671933","TRADE DESK INC"
"zs","1713683","ZSCALER INC"
"veev","1393052","VEEVA SYSTEMS INC"
"anss","1013462","ANSYS INC"
"okta","1660134","OKTA INC"
"twlo","1447669","TWILIO INC"
"u","1810806","UNITY SOFTWARE INC"
"pltr","1321655","PALANTIR TECHNOLOG INC"
"zi","1794515","ZOOMINFO TECHNOLOGIES"
"ssnc","1402436","SS&C TECHNOLOGIES HLDGS INC"
"mdb","1441816","MONGODB INC"
"hubs","1404655","HUBSPOT INC"
"payc","1590955","PAYCOM SOFTWARE INC"
"splk","1353283","SPLUNK INC"
"bill","1786352","BILL.COM HOLDINGS INC"
"nlok","849399","NORTONLIFELOCK INC"
"tyl","860731","TYLER TECHNOLOGIES INC"
"docu","1261333","DOCUSIGN INC"
"zen","1463172","ZENDESK INC"
"fico","814547","FAIR ISAAC CORP"
"ctxs","877890","CITRIX SYSTEMS INC"
"ptc","857005","PTC INC"
"dt","1773383","DYNATRACE INC"
"pcty","1591698","PAYLOCITY HOLDING CORP"
"bsy","1031308","BENTLEY SYSTEMS INC"
"azpn","929940","ASPEN TECHNOLOGY INC"
"cday","1725057","CERIDIAN HCM HOLDING"
"manh","1056696","MANHATTAN ASSOCIATES INC"
"dbx","1467623","DROPBOX INC"
"gwre","1528396","GUIDEWIRE SOFTWARE INC"
"coup","1385867","COUPA SOFTWARE INC"
"avlr","1348036","AVALARA INC"
"plan","1540755","ANAPLAN INC"
"estc","1707753","ELASTIC NV"
"asan","1477720","ASANA INC"
"pega","1013857","PEGASYSTEMS INC"
"fivn","1288847","FIVE9 INC"
"cdk","1609702","CDK GLOBAL INC"
"smar","1366561","SMARTSHEET INC"
"rpd","1560327","RAPID7 INC"
"mndt","1370880","FIREEYE INC"
"tenb","1660280","TENABLE HOLDINGS INC"
"ntnx","1618732","NUTANIX INC"
"wk","1445305","WORKIVA INC"
"tdc","816761","TERADATA CORP"
"altr","1701732","ALTAIR ENGINEERING INC"
"qlys","1107843","QUALYS INC"
"zd","1084048","J2 GLOBAL INC"
"spsc","1092699","SPS COMMERCE INC"
"mstr","1050446","MICROSTRATEGY INC"
"env","1337619","ENVESTNET INC"
"bl","1666134","BLACKLINE INC"
"sail","1627857","SAILPOINT TECHNO HLDG"
"appf","1433195","APPFOLIO INC"
"newr","1448056","NEW RELIC INC"
"box","1372612","BOX INC"
"jamf","1721947","JAMF HOLDING CORP"
"msp","1724570","DATTO HOLDING CORP"
"aciw","935036","ACI WORLDWIDE INC"
"ayx","1689923","ALTERYX INC"
"appn","1441683","APPIAN CORP"
"vrnt","1166388","VERINT SYSTEMS INC"
"blkb","1280058","BLACKBAUD INC"
"spt","1517375","SPROUT SOCIAL INC"
"alrm","1459200","ALARM.COM HOLDINGS INC"
"apps","317788","DIGITAL TURBINE INC"
"qtwo","1410384","Q2 HOLDINGS INC"
"cvlt","1169561","COMMVAULT SYSTEMS INC"
"epay","1073349","BOTTOMLINE TECHNOLOGIES INC"
"dct","1160951","DUCK CREEK TECHNOL INC"
"mntv","1739936","SVMK INC"
"pd","1568100","PAGERDUTY INC"
"frog","1800667","JFROG LTD"
"verx","1806837","VERTEX INC"
"prgs","876167","PROGRESS SOFTWARE CORP"
"swi","1739942","SOLARWINDS CORP"
"jack","807882","JACK IN THE BOX INC"
"xper","1803696","XPERI HOLDING CORP"
"zuo","1423774","ZUORA INC"
"ping","1679826","PING IDENTITY HOLDING CORP"
"riot","1167419","RIOT BLOCKCHAIN INC"
"fsly","1517413","FASTLY INC"
"lpsn","1102993","LIVEPERSON INC"
"domo","1505952","DOMO INC"
"bigc","1626450","BIGCOMMERCE HOLDIN INC"
"pro","1392972","PROS HOLDINGS INC"
"evbg","1437352","EVERBRIDGE INC"
"crnc","1768267","CERENCE INC"
"eght","1023731","8X8 INC"
"scwx","1468666","SECUREWORKS CORP"
"sumo","1643269","SUMO LOGIC INC"
"ebix","814549","EBIX INC"
"aten","1580808","A10 NETWORKS INC"
"avya","1418100","AVAYA HLDGS CORP"
"agys","78749","AGILYSYS INC"
"modn","1118417","MODEL N INC"
"yext","1614178","YEXT INC"
"twou","1459417","2U INC"
"amswa","713425","AMERICAN SOFTWARE  -CL A"
"mitk","807863","MITEK SYSTEMS INC"
"cyrn","1084577","CYREN LTD"
"veri","1615165","VERITONE INC"
"ospn","1044777","ONESPAN INC"
"upld","1505155","UPLAND SOFTWARE INC"
"ecom","1169652","CHANNELADVISOR CORP"
"idex","837852","IDEANOMICS INC"
"clsk","827876","CLEANSPARK INC"
"egan","1066194","EGAIN CORP"
"bnft","1576169","BENEFITFOCUS INC"
"ssti","1351636","SHOTSPOTTER INC"
"mixt","1576914","MIX TELEMATICS LTD"
"ccrd","320340","INTELLIGENT SYSTEM CORP"
"phun","1665300","PHUNWARE INC"
"phunw","1665300","PHUNWARE INC"
"gtyh","1682325","GTY TECHNOLOGY HOLDINGS"
"smsi","948708","SMITH MICRO SOFTWARE INC"
"asur","884144","ASURE SOFTWARE INC"
"vhc","1082324","VIRNETX HOLDING CORP"
"sncr","1131554","SYNCHRONOSS TECHNOLOGIES"
"sncrl","1131554","SYNCHRONOSS TECHNOLOGIES"
"pcyg","50471","PARK CITY GROUP INC"
"isdr","843006","ISSUER DIRECT CORP"
"ivda","1397183","IVEDA SOLUTIONS INC"
"zest","1437491","ECOARK HOLDINGS INC"
"verb","1566610","VERB TECHNOLOGY CO INC"
"verbw","1566610","VERB TECHNOLOGY CO INC"
"aeye","1362190","AUDIOEYE INC"
"boxl","1624512","BOXLIGHT CORP"
"awre","1015739","AWARE INC"
"inuv","829323","INUVO INC"
"tglo","1066684","THEGLOBE.COM INC"
"ntwk","1039280","NETSOL TECHNOLOGIES INC"
"mrin","1389002","MARIN SOFTWARE INC"
"minm","1467761","ZOOM TELEPHONICS INC"
"seac","1019671","SEACHANGE INTERNATIONAL INC"
"intz","736012","INTRUSION INC"
"gvp","944480","GSE SYSTEMS INC"
"sofo","1029744","SONIC FOUNDRY INC"
"bsqr","1054721","BSQUARE CORP"
"qumu","892482","QUMU CORP"
"rnwk","1046327","REALNETWORKS INC"
"blbx","1567900","BLACKBOXSTOCKS INC"
"gmpw","1064722","GIVEMEPOWER CORP"
"evol","1052054","EVOLVING SYSTEMS INC"
"inlx","1081745","INTELLINETICS INC"
"blin","1378590","BRIDGELINE DIGITAL INC"
"bkyi","1019034","BIO-KEY INTERNATIONAL INC"
"oblg","746210","OBLONG INC"
"payd","1017655","PAID INC"
"falc","922521","FALCONSTOR SOFTWARE INC"
"ttcm","1389067","TAUTACHROME INC"
"mgti","1001601","MGT CAPITAL INVESTMENTS INC"
"iwsy","941685","IMAGEWARE SYSTEMS INC"
"clok","1022505","CIPHERLOC CORP"
"hpto","1021435","HOPTO INC"
"rkfl","823546","ROCKETFUEL BLOCKCHAIN INC"
"avoi","1342936","ADVANCED VOICE RECOGNITION"
"maxd","1353499","MAX SOUND CORP"
"teum","1084384","PARETEUM CORP"
"smme","1301991","SMARTMETRIC INC"
"clis","1393548","CLICKSTREAM CORP"
"sitoq","1157817","SITO MOBILE LTD"
"rdar","1384365","RAADR INC"
"cybf","1522787","CYBERFORT SOFTWARE INC"
"adgo","869531","ADVANTEGO CORP"
"wodi","704366","WOD RETAIL SOLUTIONS"
"dpsm","1556753","3D PIONEER SYSTEMS INC"
"bdgy","1567771","BRIDGEWAY NATIONAL CORP"
"isign","727634","ISIGN SOLUTIONS INC"
"isgn","727634","ISIGN SOLUTIONS INC"
"ottv","1479000","VIVA ENTERTAINMENT GROUP INC"
