Company,CIK,ticker
2U INC,1459417,TWOU
30DC INC,1118974,
3D PIONEER SYSTEMS INC,1556753,DPSM
8X8 INC,1023731,EGHT
A10 NETWORKS INC,1580808,ATEN
ACI WORLDWIDE INC,935036,ACIW
ACTUA CORP,1085621,
ADEXA INC,1119691,
ADOBE INC,796343,ADBE
ADVANCED VOICE RECOGNITION,1342936,AVOI
ADVANT-E CORP,925043,
ADVANTEGO CORP,869531,ADGO
AGILYSYS INC,78749,AGYS
ALARM.COM HOLDINGS INC,1459200,ALRM
ALLDIGITAL HOLDINGS INC,1389217,
ALTAIR ENGINEERING INC,1701732,ALTR
ALTERYX INC,1689923,AYX
AMERICAN SECURITY RES CORP,1085069,
AMERICAN SOFTWARE  -CL A,713425,AMSWA
ANAPLAN INC,1540755,PLAN
ANSYS INC,1013462,ANSS
APPFOLIO INC,1433195,APPF
APPIAN CORP,1441683,APPN
APPLIED VISUAL SCIENCES INC,873198,
APT SYSTEMS INC,1543739,
ASANA INC,1477720,ASAN
ASPEN TECHNOLOGY INC,929940,AZPN
ASURE SOFTWARE INC,884144,ASUR
AUDIOEYE INC,1362190,AEYE
AUTODESK INC,769397,ADSK
AUTOMATIC DATA PROCESSING,8670,ADP
AVALARA INC,1348036,AVLR
AVAYA HLDGS CORP,1418100,AVYAW
AWARE INC,1015739,AWRE
BARRACUDA NETWORKS INC,1348334,
BENEFITFOCUS INC,1576169,BNFT
BENTLEY SYSTEMS INC,1031308,BSY
BIGCOMMERCE HOLDIN INC,1626450,BIGC
BILL.COM HOLDINGS INC,1786352,BILL
BIO-KEY INTERNATIONAL INC,1019034,BKYI
BLACK BOX CORP,849547,XXXX
BLACKBAUD INC,1280058,BLKB
BLACKBOXSTOCKS INC,1567900,BLBX
BLACKLINE INC,1666134,BL
BLAQCLOUDS INC,1517990,
BOTTOMLINE TECHNOLOGIES INC,1073349,EPAY
BOX INC,1372612,BOX
BOXLIGHT CORP,1624512,BOXL
BRAVATEK SOLUTIONS INC,1449574,
BRIDGELINE DIGITAL INC,1378590,BLIN
BRIDGEWAY NATIONAL CORP,1567771,BDGY
B-SCADA INC,1341878,
BSQUARE CORP,1054721,BSQR
BUSYBOX.COM INC,1088316,
CADENCE DESIGN SYSTEMS INC,813672,CDNS
CDK GLOBAL INC,1609702,CDK
CERENCE INC,1768267,CRNC
CERIDIAN CORP,1540549,
CERIDIAN HCM HOLDING,1725057,CDAY
CHANNELADVISOR CORP,1169652,ECOM
CICERO INC,945384,
CIMETRIX INC,1395938,
CIPHERLOC CORP,1022505,CLOK
CITRIX SYSTEMS INC,877890,CTXS
CLEANSPARK INC,827876,CLSK
CLICKSTREAM CORP,1393548,CLIS
CLONE ALGO TECHNOLOGIES INC,1582589,
CLOUDERA INC,1535379,
CLOUDFLARE INC,1477333,NET
CLOUDWARD INC,1045739,
CODE REBEL CORP,1613011,
COM GUARD.COM INC,1103759,
COMMVAULT SYSTEMS INC,1169561,CVLT
CORNERSTONE ONDEMAND INC,1401680,
COUPA SOFTWARE INC,1385867,COUP
CROWDSTRIKE HOLDINGS INC,1535527,CRWD
CYBERFORT SOFTWARE INC,1522787,CYBF
CYREN LTD,1084577,CYRN
DATADOG INC,1561550,DDOG
DATTO HOLDING CORP,1724570,MSP
DEALERADVANCE INC,1133598,
DIGILITI MONEY GROUP INC,1487906,
DIGIMARC CORP,1089443,
DIGITAL TURBINE INC,317788,APPS
DOCUSIGN INC,1261333,DOCU
DOMO INC,1505952,DOMO
DROPBOX INC,1467623,DBX
DUCK CREEK TECHNOL INC,1160951,DCT
DYNATRACE INC,1773383,DT
E2OPEN INC,1540400,
EBIX INC,814549,EBIX
ECOARK HOLDINGS INC,1437491,ZEST
EGAIN CORP,1066194,EGAN
ELASTIC NETWORKS INC,1088242,
ELASTIC NV,1707753,ESTC
ELCOM INTERNATIONAL INC,900096,
ENTERPRISE INFORMATICS INC,813747,
ENVESTNET INC,1337619,ENV
EVERBRIDGE INC,1437352,EVBG
EVOLVING SYSTEMS INC,1052054,EVOL
EZENIA INC,943894,
FAIR ISAAC CORP,814547,FICO
FALCONSTOR SOFTWARE INC,922521,FALC
FANTASY ACES DAILY FANTASY,1653115,
FASTLY INC,1517413,FSLY
FIREEYE INC,1370880,MNDT
FIVE9 INC,1288847,FIVN
FORTINET INC,1262039,FTNT
FRIENDFINDER NETWORKS INC,1451951,
GIVEMEPOWER CORP,1064722,GMPW
GRANDPARENTS.COM INC,1020475,
GREEN POLKADOT BOX INC,1159464,
GSE SYSTEMS INC,944480,GVP
GTY TECHNOLOGY HOLDINGS,1682325,GTYH
GUIDEWIRE SOFTWARE INC,1528396,GWRE
HOPTO INC,1021435,HPTO
HRSOFT INC,917019,
HUBSPOT INC,1404655,HUBS
IBSG INTERNATIONAL INC,1031905,
IDEANOMICS INC,837852,IDEX
IMAGEWARE SYSTEMS INC,941685,IWSY
INFORMATION RESOURCES INC,714278,
INTEGRATED BUSINESS SYS &SVC,1040863,
INTELLIGENT SYSTEM CORP,320340,CCRD
INTELLINETICS INC,1081745,INLX
INTERMAP TECHNOLOGIES CORP,1285170,
INTERNATIONAL LEADERS CAP CO,1470550,
INTRUSION INC,736012,INTZ
INTUIT INC,896878,INTU
INUVO INC,829323,INUV
IRONCLAD ENCRYPTION CORP,1455926,
ISIGN SOLUTIONS INC,727634,ISGN
ISSUER DIRECT CORP,843006,ISDR
IVEDA SOLUTIONS INC,1397183,IVDA
J2 GLOBAL INC,1084048,ZD
JACK IN THE BOX INC,807882,JACK
JAMF HOLDING CORP,1721947,JAMF
JDA SOFTWARE GROUP INC,1006892,
JFROG LTD,1800667,FROG
KIWIBOX COM INC,838796,
KRONOS INC,886903,
LAWSON SOFTWARE INC,1344632,
LEVELBLOX INC,1473654,
LIQUI-BOX CORP,216430,
LIQUID HOLDINGS GROUP INC,1562594,
LIVE MICROSYSTEMS INC,1308446,
LIVEPERSON INC,1102993,LPSN
MAIL BOXES ETC,791014,
MANHATTAN ASSOCIATES INC,1056696,MANH
MARIN SOFTWARE INC,1389002,MRIN
MAX SOUND CORP,1353499,MAXD
MEDALLIA INC,1540184,
MEDALLIANCE INC,886037,
MGT CAPITAL INVESTMENTS INC,1001601,MGTI
MICROSOFT CORP,789019,MSFT
MICROSTRATEGY INC,1050446,MSTR
MITEK SYSTEMS INC,807863,MITK
MIX TELEMATICS LTD,1576914,MIXT
MOBILEIRON INC,1470099,
MODEL N INC,1118417,MODN
MONGODB INC,1441816,MDB
MONSTER ARTS,1423746,
NCINO INC,1566895,
NEOMEDIA TECHNOLOGIES INC,1022701,
NETSOL TECHNOLOGIES INC,1039280,NTWK
NEW RELIC INC,1448056,NEWR
NORTONLIFELOCK INC,849399,NLOK
NOTIFY TECHNOLOGY CORP,1031980,
NUANCE COMMUNICATIONS INC,1002517,NUAN
NUTANIX INC,1618732,NTNX
OBLONG INC,746210,OBLG
OKTA INC,1660134,OKTA
OMTOOL LTD,1020579,
ONESPAN INC,1044777,OSPN
ORACLE CORP,1341439,ORCL
PAGERDUTY INC,1568100,PD
PAID INC,1017655,PAYD
PALANTIR TECHNOLOG INC,1321655,PLTR
PALO ALTO NETWORKS INC,1327567,PANW
PARETEUM CORP,1084384,TEUM
PARK CITY GROUP INC,50471,PCYG
PAYBOX CORP,879703,
PAYCHEX INC,723531,PAYX
PAYCOM SOFTWARE INC,1590955,PAYC
PAYLOCITY HOLDING CORP,1591698,PCTY
PEGASYSTEMS INC,1013857,PEGA
PHUNWARE INC,1665300,PHUNW
PING IDENTITY HOLDING CORP,1679826,PING
PLURALSIGHT INC,1725579,
PRIMAL SOLUTIONS INC,1124217,
PROGRESS SOFTWARE CORP,876167,PRGS
PROOFPOINT INC,1212458,
PROS HOLDINGS INC,1392972,PRO
PTC INC,857005,PTC
PULSE EVOLUTION CORP,1583138,
Q2 HOLDINGS INC,1410384,QTWO
QAD INC,1036188,
QUALYS INC,1107843,QLYS
QUANTGATE SYSTEMS INC,1464766,
QUMU CORP,892482,QUMU
RAADR INC,1384365,RDAR
RAND WORLDWIDE INC,852437,
RAPID7 INC,1560327,RPD
REALNETWORKS INC,1046327,RNWK
REALPAGE INC,1286225,
RIGHTSCORP INC,1506270,
RINGCENTRAL INC,1500528,
RIOT BLOCKCHAIN INC,1167419,RIOT
ROCKETFUEL BLOCKCHAIN INC,823546,RKFL
RORINE INTL HOLDING CORP,1423586,
ROSETTA STONE INC,1351285,
SAILPOINT TECHNO HLDG,1627857,SAIL
SALESFORCE.COM INC,1108524,CRM
SCIENT INC,1158019,
SEACHANGE INTERNATIONAL INC,1019671,SEAC
SECUREWORKS CORP,1468666,SCWX
SERVICENOW INC,1373715,NOW
SHARPSPRING INC,1506439,
SHOTSPOTTER INC,1351636,SSTI
SIMTROL INC,846775,
SITO MOBILE LTD,1157817,SITOQ
SKYBOX INTL INC,909687,
SLACK TECHNOLOGIES INC,1764925,
SMARTMETRIC INC,1301991,SMME
SMARTSHEET INC,1366561,SMAR
SMITH MICRO SOFTWARE INC,948708,SMSI
SNOWFLAKE INC,1640147,SNOW
SOFTECH INC,354260,
SOLARWINDS CORP,1739942,SWI
SONIC FOUNDRY INC,1029744,SOFO
SPLUNK INC,1353283,SPLK
SPROUT SOCIAL INC,1517375,SPT
SPS COMMERCE INC,1092699,SPSC
SS&C TECHNOLOGIES HLDGS INC,1402436,SSNC
SSI INVESTMENTS II LTD,1501919,
SUMO LOGIC INC,1643269,SUMO
SVMK INC,1739936,MNTV
SYNACOR INC,1408278,
SYNCHRONOSS TECHNOLOGIES,1131554,SNCRL
SYNOPSYS INC,883241,SNPS
TAUTACHROME INC,1389067,TTCM
TELENAV INC,1474439,
TENABLE HOLDINGS INC,1660280,TENB
TERADATA CORP,816761,TDC
THEGLOBE.COM INC,1066684,TGLO
TIBCO SOFTWARE INC,1085280,
TINTRI INC,1554875,
TMM INC,939652,
TRADE DESK INC,1671933,TTD
TWILIO INC,1447669,TWLO
TYLER TECHNOLOGIES INC,860731,TYL
ULTIMATE SOFTWARE GROUP INC,1016125,
UNITRONIX CORP,835270,
UNITY SOFTWARE INC,1810806,U
UPLAND SOFTWARE INC,1505155,UPLD
VANCORD CAPITAL INC,1200528,
VDO-PH INTERNATIONAL INC,1499355,
VEEVA SYSTEMS INC,1393052,VEEV
VERB TECHNOLOGY CO INC,1566610,VERBW
VERINT SYSTEMS INC,1166388,VRNT
VERITONE INC,1615165,VERI
VERTEX INC,1806837,VERX
VERTICAL COMPUTER SYS INC,1099509,
VIRNETX HOLDING CORP,1082324,VHC
VIVA ENTERTAINMENT GROUP INC,1479000,
VOYAGER DIGITAL LTD,1827032,
WOD RETAIL SOLUTIONS,704366,WODI
WORKDAY INC,1327811,WDAY
WORKIVA INC,1445305,WK
XCELMOBILITY INC,1465509,
XPERI HOLDING CORP,1803696,XPER
YAPPN CORP,1511735,
YEXT INC,1614178,YEXT
ZENDESK INC,1463172,ZEN
ZIX CORP,855612,
ZOOM TELEPHONICS INC,1467761,MINM
ZOOM VIDEO COMUNICATIONS INC,1585521,ZM
ZOOMAWAY TRAVEL INC,1541054,
ZOOMINFO TECHNOLOGIES,1794515,ZI
ZSCALER INC,1713683,ZS
ZUORA INC,1423774,ZUO
